Date,State_Id,TotalSamples,Negative,Positive
24-04-2020,Andhra Pradesh,54338,53383,955
25-04-2020,Andhra Pradesh,61266,60250,1016
26-04-2020,Andhra Pradesh,68034,66937,1097
27-04-2020,Andhra Pradesh,74551,73374,1177
28-04-2020,Andhra Pradesh,80334,79075,1259
29-04-2020,Andhra Pradesh,88061,86729,1332
30-04-2020,Andhra Pradesh,94558,93155,1403
01-05-2020,Andhra Pradesh,102460,100997,1463
02-05-2020,Andhra Pradesh,108403,106878,1525
03-05-2020,Andhra Pradesh,114937,113354,1583
04-05-2020,Andhra Pradesh,125229,123579,1650
05-05-2020,Andhra Pradesh,133492,131775,1717
06-05-2020,Andhra Pradesh,141274,139497,1777
07-05-2020,Andhra Pradesh,149361,147528,1833
08-05-2020,Andhra Pradesh,156681,154794,1887
09-05-2020,Andhra Pradesh,165069,163139,1930
10-05-2020,Andhra Pradesh,173735,171755,1980
