Election_id,State_id,Constituency,Candidate_name,Party,EVM_Votes,Postal _Votes,Total _Votes,Percentage_Votes,Result
1967,Haryana,SIRSA,SELJA,Indian National Congress,732298,1525,733823,54.17,Won
1968,Haryana,SIRSA,ASHOK TANWAR,Bharatiya Janata Party,464472,854,465326,34.35,Lost
1969,Haryana,SIRSA,SANDEEP LOT VALMIKI,Indian National Lok Dal,92279,174,92453,6.82,Lost
1970,Haryana,SIRSA,RAMESH KHATAK,Jannayak Janta Party,20049,31,20080,1.48,Lost
1971,Haryana,SIRSA,LILU RAM ASAKHERA,Bahujan Samaj Party,10120,31,10151,0.75,Lost
1972,Haryana,SIRSA,RAHUL CHOUHAN,Independent,6159,1,6160,0.45,Lost
1973,Haryana,SIRSA,KARNAIL SINGH ODHAN,Independent,4152,14,4166,0.31,Lost
1974,Haryana,SIRSA,SATPAL LADWAL,Independent,3413,1000,3413,0.25,Lost
1975,Haryana,SIRSA,MISTRI DAULAT RAM ROLAN,Peoples Party of India (Democratic),3058,3,3061,0.23,Lost
1976,Haryana,SIRSA,JOGINDER RAM,Independent,2140,2,2142,0.16,Lost
1977,Haryana,SIRSA,RAN SINGH PANWAR,Independent,1548,2,1550,0.11,Lost
1978,Haryana,SIRSA,RAJINDER KUMAR,Bharatiya Asha Party,1239,3,1242,0.09,Lost
1979,Haryana,SIRSA,BAGDAWAT RAM,Independent,1221,3,1224,0.09,Lost
1980,Haryana,SIRSA,JASVIR SINGH,Independent,1128,8,1136,0.08,Lost
1981,Haryana,SIRSA,NAVEEN KUMAR COMMANDO,Independent,1113,3,1116,0.08,Lost
1982,Haryana,SIRSA,SUKHDEV SINGH SANDHU,Independent,993,6,999,0.07,Lost
1983,Haryana,SIRSA,DR. RAJESH MEHANDIA,Bahujan Republican  Socialist Party,931,1000,931,0.07,Lost
1984,Haryana,SIRSA,DHARAMPAL VARTIA,Loktantrik Lok Rajyam Party,916,3,919,0.07,Lost
1985,Haryana,SIRSA,SURENDER KUMAR PHULAN,Independent,614,3,617,0.05,Lost
1986,Haryana,SIRSA,NOTA,None of the Above,4106,17,4123,0.3,Lost
1987,Haryana,SONIPAT,SATPAL BRAHAMCHARI,Indian National Congress,546163,2519,548682,48.82,Won
1988,Haryana,SONIPAT,MOHAN LAL BADOLI,Bharatiya Janata Party,525069,1797,526866,46.88,Lost
1989,Haryana,SONIPAT,UMESH KUMAR,Bahujan Samaj Party,12742,80,12822,1.14,Lost
1990,Haryana,SONIPAT,ANOOP SINGH,Indian National Lok Dal,11384,139,11523,1.03,Lost
1991,Haryana,SONIPAT,BHUPENDER SINGH MALIK,Jannayak Janta Party,7716,104,7820,0.7,Lost
1992,Haryana,SONIPAT,SANT DHARAMVEER CHOTIVALA,Independent,2150,4,2154,0.19,Lost
1993,Haryana,SONIPAT,RAMESH,Independent,1651,1000,1651,0.15,Lost
1994,Haryana,SONIPAT,NARESH KASHYAP,Aam Aadmi Parivartan Party,1622,36,1658,0.15,Lost
1995,Haryana,SONIPAT,SATPAL,Independent,1215,2,1217,0.11,Lost
1996,Haryana,SONIPAT,GAUBHAGAT SUMIT LATHER,Independent,877,5,882,0.08,Lost
1997,Haryana,SONIPAT,DR. KAMLESH KUMAR SAINI,Independent,863,3,866,0.08,Lost
1998,Haryana,SONIPAT,ROHTASH,Independent,775,2,777,0.07,Lost
1999,Haryana,SONIPAT,BALBIR SINGH,Socialist Unity Centre Of India (COMMUNIST),765,3,768,0.07,Lost
2000,Haryana,SONIPAT,ASHWANI,Independent,694,1,695,0.06,Lost
2001,Haryana,SONIPAT,SANJAY DASS,Independent,569,3,572,0.05,Lost
2002,Haryana,SONIPAT,JAGBEER,Independent,521,3,524,0.05,Lost
